id,rq1,rq2,rq3,rq4,rq5
E01,R,R,R,R,P
E02,R,R,P,R,P
E09,R,R,P,P,R
E12,R,R,P,R,P
E21,P,R,P,R,P
E23,P,R,N,P,R
E25,R,R,P,P,P
E27,R,R,P,R,P
E29,R,R,P,R,R
E32,R,R,P,R,R
E36,P,R,P,R,P
E38,R,R,P,R,R
E40,P,R,P,P,R
E43,R,R,P,R,R
E45,R,R,P,R,R
E46,R,R,P,P,R
E47,R,R,R,R,P
E51,P,R,P,P,P
E57,P,R,P,R,R
E58,P,R,P,P,P
E63,P,R,P,R,P
E64,R,R,P,R,R
E67,R,P,P,R,P
E70,R,R,P,R,R
E72,P,P,P,R,R
E74,P,R,P,P,R
E75,R,R,P,R,R
E79,R,R,P,R,P
