ID_estudo,Referencia,Soma de Pontos,Status
E54,"Levy, M.; Spitzer, S.; Pauzner, M. (2022). Multifaceted Requirements Engineering: Developing A MESH (Municipal-Environmental-Social-Health) Platform. 2022 IEEE 30th International Requirements Engineering Conference Workshops (REW).",6,Nota Baixa
E57,"Meireles, M. A. C.; Conte, T.; Souza, A. F. B.; Maldonado, J. (2021). Organizing the Design Thinking Toolbox: Supporting the Requirements Elicitation Decision Making. SBES '21.",7.5,Incluido
E58,"Mulvenna, M.; Zheng, H.; Bond, R.; McAllister, P.; Wang, H.; Riestra, R. (2017). Participatory Design-based Requirements Elicitation Involving People Living with Dementia Towards a Home-based Platform to Monitor Emotional Wellbeing. 2017 IEEE International Conference on Bioinformatics and Biomedicine (BIBM).",7,Incluido
E59,"Romero-Untiveros, L.; Paredes-Guerrero, K.; Lara-Herrera, J.; Ullon-Ramírez, A.; Chiroque-Zanabria, E. (2025). Project-Based Learning with Real-World Projects for Requirements Engineering Education: A Case Study at a University in Lima, Peru. 2025 International Symposium on Accreditation of Engineering and Computing Education (ICACIT).",7.5,Excluido
E63,"Kyakulumbye, S.; Pather, S.; Bagula, A. (2020). Smart City Citizens' Service Provision using Participatory Design and Participatory Sensing: Lessons for Developing Cities. IST-Africa 2020 Conference Proceedings.",8,Incluido
E64,"Haddad, F. B. B.; Almeida, E. M.; Gimenez, C.; L'Erario, A.; Peres, L. M. (2024). Socially Aware Design Workshop to Discover Socio-Technical Requirements: Planning, Execution, and Results. 2024 IEEE Frontiers in Education Conference (FIE).",8,Incluido
E67,"Pinheiro, E. G.; Lopes, L. A.; Conte, T. U.; Zaina, L. A. M. (2018). The contribution of non-technical stakeholders on the specification of UX requirements: an experimental study using the proto-persona technique. XXXII Brazilian Symposium on Software Engineering (SBES 2018).",7.5,Incluido
E70,"Newman, P.; Ferrario, M. A.; Simm, W.; Forshaw, S.; Friday, A.; Whittle, J. (2015). The Role of Design Thinking and Physical Prototyping in Social Software Engineering. 2015 IEEE/ACM 37th IEEE International Conference on Software Engineering (ICSE) - Software Engineering in Society.",7.5,Incluido
E72,"Alkhomsan, M. N.; Baslyman, M.; Alshayeb, M. (2022). Toward Emotion-Oriented Requirements Engineering: A Case Study of a Virtual Clinics Application. 2022 IEEE 30th International Requirements Engineering Conference Workshops (REW).",6.5,Incluido
E74,"Pereira, L.; Parizi, R.; Prestes, M.; Marczak, S.; Conte, T. (2021). Towards an Understanding of Benefits and Challenges in the Use of Design Thinking in Requirements Engineering. The 36th ACM/SIGAPP Symposium on Applied Computing (SAC '21).",7,Incluido
E75,"Amiribesheli, M.; Bouchachia, A. (2016). Towards Dementia-friendly Smart Homes. 2016 IEEE 40th Annual Computer Software and Applications Conference (COMPSAC).",7.5,Incluido
E79,"Levy, M.; Krebs, A.; Hadar, I.; Barak, I. (2021). When the Developers Become the (Micro) Crowd: An Educational Case Study on Multidisciplinary Requirements Engineering. 2021 IEEE 29th International Requirements Engineering Conference Workshops (REW).",6.5,Incluido
